numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
6,126940,560686,265357,1425,10735,62055645,587.675371170044,erdos
6,172425,652804,284238,1502,12018,65270613,631.871205329895,erdos
8,190516,503497,267583,1565,11831,67954009,655.9612646102905,erdos
8,379984,1348876,664433,2121,14702,92070814,920.9638538360596,erdos
6,127989,486249,216505,1220,10486,53117221,500.5357036590576,erdos
6,282769,1129174,468358,1775,13315,77115056,759.778413772583,erdos
6,132688,537265,242962,1285,10654,55947286,528.9876403808594,erdos
6,113308,479469,244294,1329,10488,57875053,545.3947668075562,erdos
6,113308,479469,244294,1056,10488,57875053,908.0158166885376,erdos
8,229868,604365,316201,1728,11913,75076412,725.6314220428467,erdos
10,555452,1969953,981322,3067,14964,121028466,1213.6653633117676,erdos
6,178677,607326,269989,1443,12439,62699404,610.7191905975342,erdos
6,50355,97783,59978,0,5576,15347769,140.53814506530762,erdos
6,101296,254136,122469,696,8548,30301617,281.47009468078613,erdos
6,61164,121272,75081,409,5939,17812985,163.5264654159546,erdos
6,52095,102369,60663,358,5833,15567766,142.81655597686768,erdos
6,126450,415894,191033,1045,10243,45509257,426.6671886444092,erdos
6,87119,176870,105722,577,7089,25159084,232.4208860397339,erdos
6,137144,630617,278361,1522,11507,66125183,634.9694719314575,erdos
6,128425,421192,190156,1044,10568,45421092,428.7265100479126,erdos
6,55503,109562,67185,359,5470,15646626,143.16379642486572,erdos
6,117944,405696,176485,1013,10077,44071958,411.6832790374756,erdos
6,39342,76533,48543,250,5060,10909039,99.47195339202881,erdos
6,49826,98098,63888,340,5412,14801317,135.36585330963135,erdos
6,122786,425454,191528,1037,9721,45154252,420.7885322570801,erdos
6,66871,132978,80435,463,6710,20153845,185.84530067443848,erdos
6,98314,251777,143458,763,8543,33223140,308.60769844055176,erdos
6,82801,166754,101753,563,6964,24515253,226.34292125701904,erdos
6,71564,142407,87140,489,6431,21284613,195.97809600830078,erdos
6,77791,156978,94202,522,8083,22758922,211.05812454223633,rgg
6,30023,57264,35833,189,5059,8223866,74.9816312789917,rgg
6,94646,243031,140886,770,9510,33514575,312.16840076446533,rgg
6,48157,93877,54807,321,7237,13975686,129.1654510498047,rgg
6,97544,256046,145956,776,12080,33705876,326.591854095459,rgg
6,117955,504386,249020,1371,12664,59599728,582.3789405822754,rgg
6,110646,280146,144571,735,10707,32027741,303.27700328826904,rgg
6,111345,364033,173195,965,11039,42049583,400.42821502685547,rgg
6,40413,77502,47773,252,6080,10941508,100.51976871490479,rgg
6,131267,512997,235815,1275,12916,55371901,542.8182744979858,rgg
6,97743,200910,113469,643,9451,28004760,260.918869972229,rgg
6,100916,241398,122879,665,9485,28946788,269.58127212524414,rgg
6,107901,356641,183465,975,12383,42394754,412.62878608703613,rgg
6,36153,68898,44790,237,5467,10331261,94.48920249938965,rgg
6,124782,413745,198100,1013,11856,44021425,425.06507205963135,rgg
6,90304,180497,106352,601,8582,26178377,243.13876152038574,rgg
6,83004,160328,99591,616,9936,26818089,249.9488706588745,rgg
6,65930,131895,78851,435,7933,18957358,175.73187923431396,rgg
6,36489,69975,41928,233,5410,10147070,92.77238750457764,rgg
